"Efficiently track and manage all cron tasks running in the website background with <b>Magento 2 Cron Scheduler extension.</b>","Efficiently track and manage all cron tasks running in the website background with <b>Magento 2 Cron Scheduler extension.</b>",module,Amasty_CronScheduleList
"Visit page","Visit page",module,Amasty_CronScheduleList
"Last Cron Activity: ","Last Cron Activity: ",module,Amasty_CronScheduleList
"Save and Continue Edit","Save and Continue Edit",module,Amasty_Feed
"Category Information","Category Information",module,Amasty_Feed
"Exclude Categories","Exclude Categories",module,Amasty_Feed
General,General,module,Amasty_Feed
"General Information","General Information",module,Amasty_Feed
Code,Code,module,Amasty_Feed
Name,Name,module,Amasty_Feed
"Rename Categories","Rename Categories",module,Amasty_Feed
"Use Google Taxonomy Categories Names","Use Google Taxonomy Categories Names",module,Amasty_Feed
Yes,Yes,module,Amasty_Feed
No,No,module,Amasty_Feed
"Google Taxonomy source:","Google Taxonomy source:",module,Amasty_Feed
Feeds,Feeds,module,Amasty_Feed
"Add New Feed","Add New Feed",module,Amasty_Feed
Generate,Generate,module,Amasty_Feed
"Preview Feed","Preview Feed",module,Amasty_Feed
"Feed Information","Feed Information",module,Amasty_Feed
Analytics,Analytics,module,Amasty_Feed
"Google Analytics","Google Analytics",module,Amasty_Feed
"Campaign Source","Campaign Source",module,Amasty_Feed
"<b>Required.</b> Use <b>utm_source</b> to identify a search engine, newsletter name, or other source.<br/><i>Example:</i> google","<b>Required.</b> Use <b>utm_source</b> to identify a search engine, newsletter name, or other source.<br/><i>Example:</i> google",module,Amasty_Feed
"Campaign Medium","Campaign Medium",module,Amasty_Feed
"<b>Required.</b> Use <b>utm_medium</b> to identify a medium such as email or cost-per- click<br/><i>Example:</i> cpc","<b>Required.</b> Use <b>utm_medium</b> to identify a medium such as email or cost-per- click<br/><i>Example:</i> cpc",module,Amasty_Feed
"Campaign Term","Campaign Term",module,Amasty_Feed
"Used for paid search. Use <b>utm_term</b> to note the keywords for this ad.<br/><i>Example:</i> running+shoes","Used for paid search. Use <b>utm_term</b> to note the keywords for this ad.<br/><i>Example:</i> running+shoes",module,Amasty_Feed
"Campaign Content","Campaign Content",module,Amasty_Feed
"Used for A/B testing and content-targeted ads. Use <b>utm_content</b> to differentiate ads or links that point to the same URL.<br/><i>Example:</i> logolink <i>or</i> textlink","Used for A/B testing and content-targeted ads. Use <b>utm_content</b> to differentiate ads or links that point to the same URL.<br/><i>Example:</i> logolink <i>or</i> textlink",module,Amasty_Feed
"Campaign Name","Campaign Name",module,Amasty_Feed
"Used for keyword analysis. Use <b>utm_campaign</b> to identify a specific product promotion or strategic campaign.<br/><i>Example:</i> spring_sale","Used for keyword analysis. Use <b>utm_campaign</b> to identify a specific product promotion or strategic campaign.<br/><i>Example:</i> spring_sale",module,Amasty_Feed
"Test connection","Test connection",module,Amasty_Feed
Conditions,Conditions,module,Amasty_Feed
"Conditions (don't add conditions if need export all products)","Conditions (don't add conditions if need export all products)",module,Amasty_Feed
"Strip Tags","Strip Tags",module,Amasty_Feed
"Html Escape","Html Escape",module,Amasty_Feed
Uppercase,Uppercase,module,Amasty_Feed
Capitalize,Capitalize,module,Amasty_Feed
Lowercase,Lowercase,module,Amasty_Feed
Integer,Integer,module,Amasty_Feed
Length,Length,module,Amasty_Feed
Prepend,Prepend,module,Amasty_Feed
Append,Append,module,Amasty_Feed
Replace,Replace,module,Amasty_Feed
Round,Round,module,Amasty_Feed
"If Empty","If Empty",module,Amasty_Feed
"If Not Empty","If Not Empty",module,Amasty_Feed
"If Empty/Not Empty","If Empty/Not Empty",module,Amasty_Feed
"To secure URL","To secure URL",module,Amasty_Feed
"To unsecure URL","To unsecure URL",module,Amasty_Feed
From,From,module,Amasty_Feed
To,To,module,Amasty_Feed
Text,Text,module,Amasty_Feed
Empty,Empty,module,Amasty_Feed
"Not Empty","Not Empty",module,Amasty_Feed
"Max Length","Max Length",module,Amasty_Feed
Content,Content,module,Amasty_Feed
Options,Options,module,Amasty_Feed
"Column Names","Column Names",module,Amasty_Feed
Header,Header,module,Amasty_Feed
"Fields enclosed by","Fields enclosed by",module,Amasty_Feed
"Double Quote ("")","Double Quote ("")",module,Amasty_Feed
"Quote (')","Quote (')",module,Amasty_Feed
Space,Space,module,Amasty_Feed
None,None,module,Amasty_Feed
"Fields separated by","Fields separated by",module,Amasty_Feed
"Comma (,)","Comma (,)",module,Amasty_Feed
"Semicolon (;)","Semicolon (;)",module,Amasty_Feed
"Pipe (|)","Pipe (|)",module,Amasty_Feed
Tab,Tab,module,Amasty_Feed
Fields,Fields,module,Amasty_Feed
Format,Format,module,Amasty_Feed
Price,Price,module,Amasty_Feed
Currency,Currency,module,Amasty_Feed
"Show Currency Abbr","Show Currency Abbr",module,Amasty_Feed
"Number of decimal points","Number of decimal points",module,Amasty_Feed
One,One,module,Amasty_Feed
Two,Two,module,Amasty_Feed
Three,Three,module,Amasty_Feed
Four,Four,module,Amasty_Feed
"Separator for the decimal point","Separator for the decimal point",module,Amasty_Feed
"Dot (.)","Dot (.)",module,Amasty_Feed
"Thousands Separator","Thousands Separator",module,Amasty_Feed
"Space ( )","Space ( )",module,Amasty_Feed
Date,Date,module,Amasty_Feed
"FTP Settings","FTP Settings",module,Amasty_Feed
Enabled,Enabled,module,Amasty_Feed
Host,Host,module,Amasty_Feed
"Add port if necessary (example.com:321)","Add port if necessary (example.com:321)",module,Amasty_Feed
Protocol,Protocol,module,Amasty_Feed
FTP,FTP,module,Amasty_Feed
SFTP,SFTP,module,Amasty_Feed
User,User,module,Amasty_Feed
Password,Password,module,Amasty_Feed
Path,Path,module,Amasty_Feed
"Passive Mode","Passive Mode",module,Amasty_Feed
"File Name","File Name",module,Amasty_Feed
Type,Type,module,Amasty_Feed
CSV,CSV,module,Amasty_Feed
XML,XML,module,Amasty_Feed
Store,Store,module,Amasty_Feed
Status,Status,module,Amasty_Feed
Active,Active,module,Amasty_Feed
Inactive,Inactive,module,Amasty_Feed
Compress,Compress,module,Amasty_Feed
"Exclude Disabled Products","Exclude Disabled Products",module,Amasty_Feed
"Exclude Out of Stock Products","Exclude Out of Stock Products",module,Amasty_Feed
"Exclude Not Visible Products","Exclude Not Visible Products",module,Amasty_Feed
Schedule,Schedule,module,Amasty_Feed
"Generate feed","Generate feed",module,Amasty_Feed
Day,Day,module,Amasty_Feed
Time,Time,module,Amasty_Feed
